#tail	head	KSP index
Q15796	Q8TAD8	62
Q13485	Q8TAD8	62
Q15796	Q13573	63
P84022	Q13573	63
P51817	P48436	64
P17612	P48436	64
P22612	P48436	64
P22694	P48436	64
P35222	P15884	66
P10275	P15884	66
O15105	P15884	66
Q13485	Q14186	67
P84022	Q14186	67
P06400	Q14188	68
Q05397	Q9Y6Q9	68
Q9Y6Q9	Q01094	68
Q01094	Q14188	68
P78396	Q01094	68
P38398	Q01094	68
P19838	Q01094	68
P78396	Q14209	68
Q14209	Q14188	68
Q08999	Q14188	68
P28749	Q14188	68
Q16254	Q14188	68
Q05397	P04637	70
Q15796	Q9UPN9	72
Q13485	Q9UPN9	72
P84022	Q9UPN9	72
P84022	P11473	73
P31946	Q9GZV5	75
Q15796	P37275	76
P84022	P37275	76
Q15796	O60315	77
P84022	O60315	77
P05106	P12931	78
P12931	P10275	78
P05106	P01112	79
P01112	O15264	79
O15264	P15336	79
P05106	P01111	79
P01111	O15264	79
P05106	P01116	79
P01116	O15264	79
P01112	Q16539	79
Q16539	P15336	79
P01111	Q16539	79
P01116	Q16539	79
P01112	Q15759	79
Q15759	P15336	79
P01111	Q15759	79
P01116	Q15759	79
P01112	P45983	79
P45983	P15336	79
P05106	Q9UQF2	79
Q9UQF2	P45983	79
P01100	P15336	79
P01112	P27361	79
P27361	P15336	79
P05106	Q05397	79
P01111	P27361	79
P01116	P27361	79
P01112	P28482	79
P28482	P15336	79
P01111	P28482	79
P01116	P28482	79
P01112	P53778	79
P53778	P15336	79
P01111	P53778	79
P01116	P53778	79
P01112	P05412	79
P05412	P15336	79
P01111	P05412	79
P01116	P05412	79
P05106	P16885	79
P16885	Q16566	79
Q16566	P15336	79
P05106	P18031	79
P31749	P15336	79
P05106	P19174	79
P19174	P31749	79
P05106	P37173	79
Q13485	P15336	79
P84022	P15336	79
Q9UQF2	P45984	79
P45984	P15336	79
Q9UQF2	P53779	79
P53779	P15336	79
P05412	P18847	80
P84022	P18847	80
P01112	Q7Z569	81
Q7Z569	P38398	81
P01111	Q7Z569	81
P01116	Q7Z569	81
P01112	P27986	81
P27986	P38398	81
P05106	P29353	81
P29353	P27986	81
P37173	P27986	81
Q05397	P27986	81
P01116	P27986	81
P05412	P38398	81
P01112	Q99759	81
Q99759	P38398	81
P01111	Q99759	81
P01116	Q99759	81
P03372	P38398	81
P18031	O60674	81
O60674	P38398	81
P19174	O60674	81
P84022	P38398	81
P19174	O15360	81
O15360	P38398	81
P05412	Q99966	82
P05412	Q92793	84
Q16566	Q92793	84
P18031	P42229	84
P42229	Q92793	84
P18031	P51692	84
P51692	Q92793	84
P35222	Q92793	84
Q13485	Q92793	84
P84022	Q92793	84
Q9Y6Q9	Q92793	84
P19174	Q07666	84
Q07666	Q92793	84
P29353	P63104	89
P05106	Q9Y490	89
Q9Y490	P63104	89
P16885	P62993	90
P29353	P62993	90
P19174	P62993	90
Q16566	Q09472	93
P31749	Q09472	93
P00519	Q09472	93
P19174	P00519	93
P03372	Q09472	93
P35222	Q09472	93
